,0,1
Taxila,archaeological/prehistoric site,0.0
Palma Gil,populated place,4894.0
Beverly Hills,section of populated place,34869.0
San Pedro del Norte,second-order administrative division,0.0
Pianottoli-Caldarello,populated place,864.0
Nawalparasi district,,
Gamapaha district,,
Battagram,seat of a second-order administrative division,700000.0
Datu Salibo,third-order administrative division,14947.0
Karachayevsk,populated place,20264.0
Kambia,second-order administrative division,281141.0
Cherchell,populated place,0.0
Horsham,airport,0.0
Achini Bala,populated place,0.0
Emanuel,second-order administrative division,22598.0
Meta,first-order administrative division,783168.0
Sori,seat of a third-order administrative division,2888.0
Balaghat district,second-order administrative division,1701698.0
Vuhlehirsk,populated place,9926.0
Totonicapan,seat of a first-order administrative division,69734.0
Shaffa,third-order administrative division,0.0
Narbal,populated place,0.0
Sheikhpura,second-order administrative division,636342.0
Adjumani,seat of a second-order administrative division,28700.0
Nazyan district,,
Dur Baba,second-order administrative division,0.0
Reggio Calabria,seat of a second-order administrative division,169140.0
Rampur,seat of a first-order administrative division,700133.0
Goreswar,populated place,0.0
Kanak,populated place,616.0
Saint-Florent,populated place,1619.0
El Tarra district,,
Pabna district,populated place,186781.0
Verona,seat of a second-order administrative division,219103.0
Resistencia,seat of a first-order administrative division,387158.0
Tangcal,third-order administrative division,15181.0
Adekar,populated place,0.0
lima,capital of a political entity,7737002.0
Sheringal,mountain,0.0
Yogyakarta,seat of a first-order administrative division,636660.0
GAZA,seat of a first-order administrative division,410000.0
Pisa,seat of a second-order administrative division,77007.0
Ceelbarde,,
Abonnema,seat of a second-order administrative division,0.0
Ocotal district,section of populated place,0.0
Yenakiieve,populated place,104101.0
Otniel,,
Lash Wa Juwayn district,,
Bahrami Shahid district,,
Tomslake,populated locality,0.0
Colonia,first-order administrative division,119249.0
Sabunjiya,,
Raghzai,area,0.0
Balli Doogle,populated place,0.0
Nenton,second-order administrative division,0.0
Maaloula,seat of a third-order administrative division,5000.0
Tal,first-order administrative division,4053.0
Los Cedros,locality,0.0
Maramag,seat of a third-order administrative division,33844.0
Minna,seat of a first-order administrative division,291905.0
Asaba,seat of a first-order administrative division,73374.0
Mojokerto,populated place,112557.0
Satipo,seat of a third-order administrative division,15532.0
Pavona,locality,0.0
Wellawaya,locality,0.0
Huaura district,,
Mamuzai,locality,0.0
Lubo Yilai,,
Gauripur,second-order administrative division,0.0
Rutba,second-order administrative division,0.0
Ramgiri,populated place,0.0
Talipao,third-order administrative division,80255.0
Luricocha,third-order administrative division,0.0
Lira,seat of a second-order administrative division,119323.0
Al-Khasfah,locality,0.0
Gori,seat of a first-order administrative division,46676.0
Gampaha,second-order administrative division,2146077.0
Paddock,reserve,0.0
Tora Warai,populated place,0.0
Sheikh Hilal,populated place,0.0
Krong Pinang ((District)),,
Talaingod,third-order administrative division,27482.0
Loy Bagh,mountain,0.0
Nelliady,populated place,0.0
Westville,populated place,0.0
Kalehe,second-order administrative division,0.0
Soyo,populated place,67491.0
Samakkhi,second-order administrative division,26786.0
Majdal Selm,populated place,0.0
Mozonte,second-order administrative division,0.0
Puerto Bolivar,section of populated place,0.0
Taytay,seat of a third-order administrative division,231460.0
Rukhi,populated place,0.0
Tuzla,seat of a second-order administrative division,142486.0
Nimrud,archaeological/prehistoric site,0.0
Surkhakhi,populated place,16215.0
La Patriota,populated place,0.0
Banbury,populated place,48651.0
Podgorica,capital of a political entity,136473.0
Davao,seat of a first-order administrative division,1212504.0
Multiple unspecified locations,,
Stari Trg,populated place,89.0
Dumayr,seat of a third-order administrative division,0.0
Hillbrow,section of populated place,0.0
Flagstaff,seat of a second-order administrative division,70320.0
Dembia,locality,0.0
Muitjiku,,
Ngoshe,third-order administrative division,0.0
Maalot,populated place,21400.0
Surabaya,seat of a first-order administrative division,2374658.0
Banamba,second-order administrative division,0.0
Kokstad,seat of a third-order administrative division,25373.0
Izghe,,
Catanzaro,seat of a first-order administrative division,78970.0
Dolo,populated place,26748.0
Am Surrah,populated place,0.0
Mae Lan,second-order administrative division,14384.0
Ercis district,,
Albu Diab,section of populated place,0.0
Babban Gida,seat of a second-order administrative division,0.0
Inhamitanga,populated place,0.0
Quebec,seat of a first-order administrative division,528595.0
Banga,second-order administrative division,0.0
Siinka Dheer,,
Sharwin,,
Alayh,second-order administrative division,0.0
La Gateada,populated place,0.0
Qurnah,second-order administrative division,0.0
Hor al-Bashah,,
Serzhen-Yurt,populated place,4773.0
Deventer,populated place,97331.0
Quinchia,populated place,10895.0
Jidhafs,populated place,31735.0
Usurbil,seat of a third-order administrative division,5559.0
Budyonnovsk,populated place,67962.0
Alau,second-order administrative division,0.0
Anuradhapura District,second-order administrative division,755431.0
Calinog,seat of a third-order administrative division,5552.0
Kalutara,populated place,38000.0
Guelta Zemmur,populated place,0.0
Singra,seat of a third-order administrative division,97.0
Ambo,seat of a first-order administrative division,226145.0
Esquipulas,second-order administrative division,0.0
Cisneros,seat of a first-order administrative division,75000.0
Barobo,second-order administrative division,0.0
Titay,populated place,0.0
Gashua,seat of a second-order administrative division,125817.0
Khadizai,populated place,0.0
Halle,populated place,234107.0
Macachacra,seat of a third-order administrative division,0.0
Muzaffargarh,seat of a second-order administrative division,165192.0
Natanya,populated place,171676.0
Nedunkerni,fourth-order administrative division,0.0
Nongoma,seat of a third-order administrative division,0.0
Maldar,populated place,0.0
Chilanga,second-order administrative division,0.0
Becerril,second-order administrative division,13941.0
Tessalit district,,
Hudur district,second-order administrative division,0.0
Burgas,seat of a first-order administrative division,195966.0
Abbasi,area,0.0
Bani Mahboub,,
Nam Dam,populated place,598199.0
Laguna de Perlas,seat of a second-order administrative division,6809.0
Chapainawabganj,,
Reggio nell Emilia,seat of a second-order administrative division,133296.0
Chak district,peak,0.0
Wazir,seat of a first-order administrative division,7407.0
Cano Negro,area,0.0
Osh,seat of a first-order administrative division,200000.0
Karabudakhkent,populated place,13207.0
Lamontville,section of populated place,0.0
Wanblan,stream,0.0
Lopez,second-order administrative division,0.0
Tupiza,populated place,22233.0
Loikaw,seat of a first-order administrative division,17293.0
Conner,forest reserve,0.0
Kahramanmaras,seat of a first-order administrative division,376045.0
Moyo,airport,0.0
Cadaado,second-order administrative division,0.0
Mtwapa,populated place,0.0
Kayamla,,
Mazdaki,,
Xian,seat of a first-order administrative division,6501190.0
Lemery,third-order administrative division,93157.0
Jahm,mountain,0.0
Bo,seat of a first-order administrative division,174354.0
Acajutla,populated place,22763.0
Tariq Ibn-Ziyad,mosque,0.0
Perugia,seat of a first-order administrative division,120137.0
islamabad,capital of a political entity,601600.0
Bheji,populated place,0.0
Mapiripan,second-order administrative division,13230.0
Caramanta,second-order administrative division,5510.0
Ab Band,second-order administrative division,0.0
Xalbal,stream,0.0
San Juan Nonualco,populated place,0.0
Albu Kamal,seat of a second-order administrative division,57572.0
Rupnagar district,second-order administrative division,684627.0
Copacabana,second-order administrative division,61234.0
Daraban,populated place,0.0
Yeniyazi,populated place,0.0
Pamed,,
Kuchchaveli,populated place,0.0
Beltran,second-order administrative division,1947.0
Pandola,populated place,0.0
Patras,seat of a first-order administrative division,168034.0
Oued Djer,administrative division,0.0
srinagar,seat of a first-order administrative division,975857.0
Dera Ismail Khan district,second-order administrative division,0.0
Guachucal,second-order administrative division,16837.0
Ilopango,populated place,38890.0
Talayan,populated place,0.0
Doboj,second-order administrative division,0.0
Taba,populated place,700.0
Chana,second-order administrative division,49182.0
Pa-an,seat of a first-order administrative division,50000.0
Iferouane,mountains,0.0
Bontoc,seat of a third-order administrative division,10440.0
Pantar,capital of a political entity,64409.0
Tangalle,populated place,10497.0
Shirween,,
Kawasoti,second-order administrative division,0.0
Hawsh Nasri,populated place,0.0
Jalingo,seat of a first-order administrative division,117757.0
Kagizman,second-order administrative division,47445.0
Smolensk,seat of a first-order administrative division,320991.0
Springfield,seat of a first-order administrative division,116565.0
Shomali,first-order administrative division,867727.0
Gostivar,seat of a first-order administrative division,50974.0
Glina,seat of a second-order administrative division,17997.0
Edremit district,populated place,0.0
Kondagaon,second-order administrative division,0.0
Taunggyi,seat of a first-order administrative division,160115.0
El Bluff,populated place,0.0
Sherpur,populated place,107419.0
Nantes,seat of a first-order administrative division,277269.0
Kavala,seat of a second-order administrative division,54027.0
Gari Suhbat Khan,,
Castellano,locality,0.0
Mpumalanga,first-order administrative division,3409743.0
Guindulungan district,,
Tuba,populated place,529176.0
Neve Daniel,israeli settlement,0.0
El Rama,second-order administrative division,0.0
Kurinbi,island,0.0
Beni Bouateb,populated place,0.0
La Macarena,second-order administrative division,24164.0
Umrangso,,
Zakho,seat of a second-order administrative division,95052.0
Shabunda,third-order administrative division,0.0
Nahariya,populated place,51200.0
Bamberg,seat of a third-order administrative division,70047.0
Kirovohrad,seat of a first-order administrative division,249454.0
Mumbasici,populated place,0.0
Husan,seat of a first-order administrative division,3678555.0
Tangerang,populated place,1372124.0
Marko,island,0.0
Jamuria,populated place,160242.0
Kamyanka,populated place,0.0
Figari,airport,0.0
Kharbat Aziz,,
La Union district,populated place,178858.0
Baska district,populated place,0.0
Nawzad district,,
Qadis,second-order administrative division,0.0
The Dalles,seat of a second-order administrative division,15340.0
Hailakandi district,,
Alkhan-Yurt,populated place,8879.0
Vanimal,,
Thatta,forest reserve,0.0
Dinajpur,populated place,206234.0
Albu Ghanim,populated place,0.0
Anah district,seat of a second-order administrative division,27000.0
San Martin de Pangoa,populated place,0.0
Buale district,second-order administrative division,0.0
Fairfield,populated place,147629.0
Chupol,populated place,0.0
Tado,second-order administrative division,18041.0
Shelkovskaya,populated place,9602.0
Timezrit,administrative division,0.0
Limankara,populated place,0.0
Imam Ways,shrine,0.0
Viña del Mar,populated place,294551.0
Dagu,locality,0.0
Cagwait,third-order administrative division,20384.0
Witbank,seat of a third-order administrative division,262491.0
Ichubamba,populated place,0.0
Sonson,second-order administrative division,38779.0
Itagui district,,
Aija,second-order administrative division,0.0
Nassau,capital of a political entity,227940.0
Sochi,populated place,327608.0
Balrampur,second-order administrative division,0.0
Arboleda,populated place,1736.0
Rizal,second-order administrative division,2284046.0
Mala,peak,0.0
Gajiganna,,
Ergani,second-order administrative division,121072.0
El Bordo,seat of a second-order administrative division,12072.0
Harad,second-order administrative division,93000.0
Komotini,seat of a first-order administrative division,45631.0
Apurimac district,,
Jaba,second-order administrative division,0.0
Rathfriland,populated place,2063.0
Song,second-order administrative division,0.0
Qabr Umayr,populated place,0.0
Santa Rosa district,third-order administrative division,1767.0
Bacoor,seat of a third-order administrative division,356974.0
Usur,populated place,3.0
Kamdesh,populated place,0.0
Kohat district,second-order administrative division,0.0
Meftah,populated place,59990.0
Chalerm,monastery,0.0
Chicomuselo,second-order administrative division,0.0
Saray,populated place,0.0
Welkom,seat of a second-order administrative division,431944.0
Balkh district,seat of a second-order administrative division,114883.0
Omoku,seat of a second-order administrative division,11625.0
Malangas,seat of a third-order administrative division,8473.0
Shakh,populated place,481654.0
Caucasia,region,15900000.0
Malagakit,populated place,0.0
Qarghuliyah,,
Llodio,populated place,18314.0
Chouf,second-order administrative division,0.0
Rustenberg,administrative division,0.0
Saada,airport,0.0
Burane,populated place,0.0
Cajamarquilla,third-order administrative division,0.0
Faridkot District,populated place,0.0
Guaduas,second-order administrative division,31831.0
Kajran district,,
San Luis de la Reina,populated place,0.0
Kipolot,populated place,0.0
San Juan del Norte,administrative division,0.0
Penagos,hill,0.0
Sri Ganganagar,populated place,231838.0
Tocache district,,
Todeng,,
Ore,populated place,12269.0
Magara,populated place,0.0
Silvania,second-order administrative division,21392.0
Sidi Chaib,point,0.0
Lachi,plain(s),0.0
Bang Pu,populated place,576648.0
Alicia,atoll(s),0.0
Legata,populated locality,0.0
San Nicolas de los Arroyos,seat of a second-order administrative division,127742.0
Christchurch,seat of a first-order administrative division,363926.0
Alisher district,populated place,0.0
Tamiyyah,,
Farsi district,populated place,0.0
Cabragh,populated place,0.0
Nag Hammadi,populated place,41184.0
Banepa,populated place,17153.0
Hozat district,,
Seruwawila,populated place,0.0
Shenzen,hotel,0.0
Wangjing,populated place,7528.0
La Concordia,second-order administrative division,0.0
Jazirat Khalidiyah,,
Barguna,second-order administrative division,892781.0
Orio,airport,0.0
Muang district,seat of a first-order administrative division,85000.0
Chishti Sharif,,
Ponte Gardena,seat of a third-order administrative division,157.0
Marynsky district,,
Mando Zayi,,
Kandao,pass,0.0
Suwayda,seat of a first-order administrative division,59052.0
Yana,locality,0.0
Barakin Ladi,seat of a second-order administrative division,0.0
Sparta,seat of a first-order administrative division,172334.0
Tukanalipao,populated place,0.0
Sindij,,
Langlaagte,populated place,0.0
Lucena,seat of a second-order administrative division,228758.0
Mayangose,,
Shabak,populated place,0.0
Pokrovskoye,section of populated place,55000.0
Damanhour,seat of a first-order administrative division,227943.0
Dhariwal,populated place,0.0
Antagarh,populated place,0.0
Lumio,populated place,1008.0
Homeka,,
Badiabad,ruin(s),0.0
Dawlat Yar district,,
Rasulpur,populated place,0.0
Bene Beraq,populated place,154400.0
Mirchaiya,second-order administrative division,0.0
Pliyevo,railroad station,0.0
East Rand,populated place,0.0
Kumbhariput,populated place,0.0
lahore,seat of a first-order administrative division,6310888.0
Sitamarhi,populated place,57095.0
Haridwar,populated place,186079.0
Shaygal district,,
East Champaran district,,
Adam Khan,locality,0.0
Sin El Fil,populated place,0.0
Bari,seat of a first-order administrative division,277387.0
Konsat,hill,0.0
Saarlouis,seat of a third-order administrative division,38333.0
Irbin,seat of a third-order administrative division,42474.0
Kuwayris,populated place,0.0
Bekkersdal,populated place,0.0
Hacari,second-order administrative division,10121.0
Chah Ab district,populated place,0.0
Dhalbhumgarh,,
Habeila district,,
Ain El Hamra,locality,0.0
Patae,stream,0.0
Lower Tungawan,seat of a third-order administrative division,3603.0
Siocon,seat of a third-order administrative division,5071.0
Yarim,mountain,0.0
Karimnagar,seat of a second-order administrative division,228745.0
Coggia,populated place,737.0
Landazuri,second-order administrative division,15192.0
Qubbah,populated place,24631.0
Monte San Juan,seat of a third-order administrative division,121430.0
Quillota,seat of a second-order administrative division,67779.0
Hospitalet,populated place,257038.0
Meherpur,second-order administrative division,655392.0
Musa Qala,intermittent stream,0.0
Halabjah,populated place,57333.0
Valenzuela,second-order administrative division,0.0
Lahad Datu,populated place,105622.0
Bawiyah,pass,0.0
Balo,seat of a second-order administrative division,130745.0
Carepa,seat of a second-order administrative division,20627.0
Louth,populated place,33441.0
Bera,second-order administrative division,0.0
Staoueli,populated place,0.0
Chumbes,populated place,0.0
Niono,second-order administrative division,0.0
Mangaldai,populated place,24871.0
Wala,seat of a second-order administrative division,32237.0
Machh district,fourth-order administrative division,0.0
Greenisland,populated place,5073.0
Gnjilane,seat of a first-order administrative division,51912.0
Rupnagar,second-order administrative division,0.0
Gorazhdec,populated place,0.0
Labu-Labu,populated place,0.0
Anza,second-order administrative division,7415.0
Khawaja Kainti,,
Chuschi,seat of a third-order administrative division,0.0
Nierteti,,
Kerdasa,populated place,0.0
Bayt Sahur,populated place,14921.0
Imperial,populated place,40053.0
Al-Abbasi,populated place,0.0
Moghul,populated place,0.0
Kuran Wa Munjan district,,
El Affroun,populated place,42627.0
Ahmad Abad district,,
Taguig,seat of a third-order administrative division,644473.0
Milton Keynes,seat of a second-order administrative division,229941.0
Mamasapano,fifth-order administrative division,0.0
Dawlat Shah,second-order administrative division,0.0
Formosa,seat of a first-order administrative division,221383.0
Gorkha,populated place,0.0
Farhatiyah,populated place,0.0
Alsasua,populated place,7410.0
Glogovac,seat of a second-order administrative division,58579.0
Las Brisas,locality,0.0
Overland Park,populated place,186515.0
Magangue,seat of a second-order administrative division,100313.0
Tiberias,populated place,39790.0
Rueso Ok,,
Khok Khian,populated place,0.0
Santo Tomas del Norte,second-order administrative division,0.0
Tamalous,populated place,32579.0
Benburb,populated place,0.0
Ahmadabad,populated place,3719710.0
Pratappur,second-order administrative division,0.0
Cutufi,locality,0.0
Herrera,first-order administrative division,111647.0
Chintapalle,forest reserve,0.0
Emdeni,populated place,0.0
Spinwam,populated place,0.0
Mehrabpur,populated place,35263.0
Amarkot,populated place,0.0
Tere Zayi district,,
Kalamazoo,seat of a second-order administrative division,76041.0
Gangalur,populated place,0.0
Ayodhya,populated place,53293.0
Do Abi,populated place,0.0
Hammam Righa,populated place,0.0
Bundu,populated place,0.0
Borki,populated place,3141.0
Akuressa,populated place,0.0
Pajapita,second-order administrative division,0.0
Sanchez Mira,populated place,0.0
Mariam Bek,,
Socorro,populated place,163993.0
Nizhniye Achaluki,populated place,5247.0
Pachchanur,populated place,0.0
Khasavyurt district,,
Salbani,locality,0.0
Rosh Haayin,populated place,39215.0
Zouerat,seat of a first-order administrative division,38000.0
Aracinovo,first-order administrative division,13107.0
Gigante,populated place,9829.0
Mishada,,
Reus,seat of a third-order administrative division,107118.0
Yacopi,second-order administrative division,16411.0
Sumal,independent political entity,10112453.0
Zakura,populated place,13.0
Walvis Bay,populated place,52058.0
Buga,populated place,118004.0
Bar Elias,populated place,0.0
Chiniot,seat of a second-order administrative division,201781.0
Phagwara,populated place,100146.0
Batangafo,airport,0.0
Isasondo,seat of a third-order administrative division,0.0
Inchope,populated place,0.0
Jarabulus,second-order administrative division,0.0
Ituri,first-order administrative division,0.0
Banha,seat of a first-order administrative division,167029.0
Krawa,populated place,0.0
Banda Daud Shah,populated place,0.0
Mixco,seat of a second-order administrative division,473080.0
Irvine,populated place,256927.0
KwaDabeka,populated place,0.0
Gadiras,,
Butwal,populated place,91733.0
Bonbon,point,0.0
Jabal al-Arbain,,
Khalanga,second-order administrative division,0.0
Azaz district,second-order administrative division,0.0
Estella,populated place,14238.0
Chavin,populated place,0.0
Kulay Bato,fourth-order administrative division,0.0
Lagunillas,locality,0.0
Chandra,second-order administrative division,0.0
Ho Chi Minh City,seat of a first-order administrative division,3467331.0
Maruthanamadam,populated place,0.0
Thiruvananthapuram,seat of a first-order administrative division,784153.0
Al-Shalaq,locality,0.0
Nimes,seat of a second-order administrative division,148236.0
Ghoriwala,populated place,0.0
Kothi,populated place,0.0
Fafi,locality,0.0
Tago,seat of a third-order administrative division,6300.0
Pucara District,,
Kuakonda,populated place,0.0
Aksu district,populated place,0.0
Sharpeville,populated place,0.0
Shalinsky (District),,
Esikhawini,populated place,49265.0
Washuk,second-order administrative division,0.0
Cartagena district,,
Sumapaz,upland,0.0
Patikul district,,
Jocotan,second-order administrative division,0.0
Mellit,hill,0.0
Chanchamayo district,,
Garrison,,
Dhemaji district,,
Marquina,,
Risalpur,,
Ituri district,,
Souk El Had,,
Kinawley,,
Guinobatan,,
Pashtun Kot,,
Tikalaan,,
Jere,,
Rio De Janeiro,,
Jhargram,,
Camagong,,
Tha Muang,,
Iba,,
Lysychansk,,
Waghaz,,
Abu Al-Khasib,,
Sabanalarga,,
Betoyes,,
Uramita,,
Cap Djinet,,
Central,,
Brisbane,,
Villa Rica,,
Lassa,,
El Progreso,,
Masisi,,
Yaaq Bari Weyne,,
Nihessiue,,
Kostiantynivka,,
San Pedro de Cachi,,
Pervari district,,
Kotki,,
Bordumsa,,
Patulul,,
Chisec,,
Siirt district,,
Yingo,,
Lantawan,,
Chaharbagh,,
Chester,,
Karez,,
Kafr Tibnit,,
Belize City,,
Laksam,,
Tingginambut,,
Elian,,
Atakpame,,
Killeen,,
Quelluani,,
Bahir Dar,,
Wadi Hmeid,,
Farshout,,
Boise,,
Garoowe,,
Dumarao,,
Nhamatanda district,,
Plymouth,,
Cheringoma district,,
Rosas,,
Shibirghan district,,
Puerto Berrio district,,
Camalig,,
Omiya,,
Kalamansig,,
Argelia district,,
Anitapan,,
Magude,,
Betania,,
Norman,,
Nunavil,,
San Mateo Ixtatan,,
Nalbari district,,
Nyanzale,,
Alizai,,
Wucha Bibi,,
Miya Nishin district,,
Chitral,,
Koil,,
Krasna Talivka,,
Irkutsk,,
Siayan,,
Sayd Ahmad Khel,,
Shanghai,,
Lianga,,
San Pedro Sacatepequez,,
Akarkouf,,
Zinica,,
Abraka,,
Dalu,,
Gorliz-Elexalde,,
Kamango,,
Abaji,,
Shah Alam,,
Cerritos,,
San Juan de Cesar,,
Mutura,,
Kaldar district,,
Jagdalpur,,
Kaga-Bandoro,,
Ternate,,
Iranshahr,,
Rubaydah,,
Brak,,
Montebello,,
Laag,,
Paranque,,
Giron,,
Shakhtarsk,,
Jar Quduq,,
El Tablon,,
Duitama,,
Pampa Coris,,
Kobashi,,
Canazas district,,
Gulumba Gana,,
Al-Jazirah,,
Osnabruck,,
Miaga,,
Makhmour,,
Sutayh,,
Lincoln,,
Hoshiapur district,,
Mayo (District),,
Calarca,,
Pavlopil,,
Awapalli,,
Salbo,,
Pampacancha,,
Casoon,,
Maradi,,
Saar,,
Hacienda Guajoyo,,
Gercus,,
Sagrada,,
Sarkeguda,,
Lekeitio,,
Maitum,,
Chahar Shanbeh Tepa,,
West Palm Beach,,
Mata Khan,,
Garbaharey,,
Gan Yavne,,
Guwahati district,,
Abu Adh Dhuhur,,
Athba,,
Khanasser,,
Laak,,
Calgary,,
Tansen,,
Kukawa,,
Villava,,
Gortin,,
Karabilah,,
Tambo district,,
Sonagazi,,
Avtury,,
Kaninkon,,
Belatikri,,
Warri South-West district,,
Kalkudah,,
Damour,,
San Andres de Sotavento,,
Cauayan,,
Beit Horon,,
Escalante,,
Vischongo,,
Adre,,
Sarodag,,
Maqsha,,
Rangia,,
Mehola,,
Al-Arifiyah,,
Kifri district,,
Kauran,,
Barira,,
Tucson,,
Tacna,,
Kayomati,,
Suleja,,
Solhan,,
Schwabisch Gmund,,
Dara-i-Pech district,,
Al-Hamamiyat,,
Viqueque,,
Jinja,,
Gora Pari,,
Bulambo,,
Hpakant district,,
Bidur,,
Choluteca,,
Uchuraccay,,
Cunday,,
La Dorada,,
Corozal,,
Oviedo,,
Udalguri district,,
Bahrain,,
Tverskoy,,
Rostov-on-Don,,
Lucca,,
Kholu district,,
Chibuto,,
El Guapinol,,
Lubo Buesa,,
Charghat,,
Novoaydar,,
Livingston,,
Miravalles,,
Bamut,,
Lucanamarca,,
Doron Baga,,
Katipunan,,
Bani Bangou,,
Budgam district,,
Amarilis district,,
Tébessa,,
Belbari,,
Macari,,
Kodaikallar,,
Huyum,,
Pidie,,
San Jose de Ticllas district,,
Ciudad Real,,
Chibuk,,
Pomona,,
Balingasag,,
Fateh Jang,,
El Guabo,,
Dhubri,,
Puerto Boyaca district,,
Berne,,
Rajapalayam,,
El Monte,,
Rasharkin,,
Maton district,,
Huanuco district,,
Sidi Bakhti,,
Rustaq district,,
Kambiron,,
Chilca,,
Port Loko,,
Djebahia,,
Nawadih,,
Neuquen,,
Chinari,,
Al-Mansuriyah,,
Sanjawi,,
Talakag,,
Sidi Daoud,,
Gekhi,,
Karimganj,,
Kokkadichcholai,,
Ulcumayo,,
Arish district,,
Binan,,
Waeng ((District)),,
Hazro,,
Dharampur,,
Saba Yoi,,
Hud,,
Shahabuddin,,
Dattykh,,
Claremont,,
Yitzhar,,
Kishtwar district,,
San Simon,,
Camden,,
Mambasa,,
Dakok,,
Yanaoca,,
Karampur,,
Azacualpa,,
Mutsalaul,,
Nurgaram district,,
Jakana,,
Now Bahar,,
Dabori,,
Ulundi,,
Dalang,,
Aachen,,
Butare,,
Pajarito,,
Jhenaidah district,,
Fort Lauderdale,,
Travnik,,
Fray Bartolome de las Casas district.,,
Ara,,
Camoapa,,
Lasbela,,
Kuwayfiyah,,
Bourem,,
Ville de Pietrabugno,,
Bir Ahmad,,
Cajola,,
Obo,,
El Salvador,,
Conca,,
Shani,,
amritsar,,
Pucayacu,,
Tsumeb,,
Nakhl,,
Bhagalpur,,
Pashad,,
Almar,,
Chiri-Yurt,,
Ghotki,,
Rio Cuarto,,
Mineralnye Vody,,
Necocli,,
Rathcoole,,
bucaramanga,,
Aflou,,
Vista Alegre,,
Basud,,
Las Mercedes,,
Nawada district,,
Socos,,
Jiribam,,
Satkhira,,
Barajil,,
Bandarawela,,
Stepanivka,,
Dereler,,
Coral Gables,,
Bondo,,
Darzab,,
Jonesborough,,
College Park,,
Liege,,
Paidu Pulangi,,
Polonnaruwa district,,
Sanghar,,
Riyadh district,,
Ain Tagourait,,
Igbodu,,
Bati Kot,,
Nawada,,
Jawand district,,
Pulumur,,
Satkhira district,,
Chihuahua,,
Linares,,
Khadraniyah,,
Babayurt,,
Barbacoas,,
Chapeltique,,
Wanlaweyne,,
Misliyeh,,
Ouzra,,
Mandur,,
Pachir Wa Agam,,
Miranda district,,
Mansouriyeh,,
Quaidabad,,
Sultan Khel,,
Paz de Ariporo,,
Ciudad Altamirano,,
Uzumlu,,
Kajatian,,
Manfalut,,
Gupitan,,
Bekaot,,
North Waziristan,,
Kitkoot,,
Madded,,
Potsdam,,
Achini,,
Arteche,,
Sukhnah,,
Sistani,,
Barbosa,,
Masagua,,
Mamundioma,,
Nesterovskaya,,
Karak district,,
Chibok district,,
Charar-i-Sharif,,
Churanchandpur,,
Al Bira,,
Ashmuqam,,
Kayu Khla,,
Gudar,,
Erandio,,
Aranthalawa,,
Oru,,
Washir district,,
Gulistan,,
Al-Zubair district,,
Ballyronan,,
Rio Verde,,
Bugarama,,
Linz,,
Porac,,
Joh I Rong (District),,
Cerro de Guazapa,,
Bununu,,
Ratae,,
Parramos,,
Grabo,,
Venkatapuram,,
Basima,,
Kafr Roummane,,
Ghariza,,
Nagaon district,,
Milingo,,
Cedeno,,
Casisang,,
Afade,,
Wan Ela,,
Caldiran,,
Sabarang,,
Zapote,,
Poruwa,,
Tilaiya Khurd,,
Katsina Ala,,
Providencia,,
Puerto Princesa,,
Borka,,
New Visayas,,
Ricaurte,,
Diafarabe,,
Geesthacht,,
Safay,,
Hagadera,,
Monguno district,,
Lisbellaw,,
Sidi Abdelaziz,,
Garmser,,
Omaha,,
Sarai Naurang,,
Banisilan,,
El Jocote,,
Yabrud,,
Purong,,
Ruhengeri,,
Fussa,,
Mar Gat,,
Joplin,,
Hobo,,
Shalozan,,
Edinburgh,,
Famagusta,,
Azzefoun,,
Piedecuesta,,
Margherita,,
Chagai district,,
Barama,,
Chawkay,,
Yamu,,
Korchi,,
Pichanaki,,
Shesh Ab,,
Tongi,,
Amvrosiivka,,
Ixcan,,
Edendale,,
Salamanca,,
Amadiyah,,
Diepkloof,,
Dyakove,,
Uyo,,
Kosi Kalan,,
Pine Ridge,,
Fier,,
Fiumorbu,,
Kelaniya,,
Khankala,,
Stah Guentis,,
Manu,,
Talli,,
Nubl,,
Kumalarang,,
Abadam,,
Puerto Nuevo,,
Bamba,,
Nisatta,,
Khujand,,
Achi district,,
Tipo Tipo,,
Karliova,,
Randalstown,,
Pordenone,,
Tecpan,,
Hialeah,,
Beitbridge,,
Kedumim,,
Southern Ijaw district,,
Matiranga,,
Satica,,
Juigalpa,,
Umm Qasr,,
Ambalangoda,,
Yi Ngo,,
Mandini,,
Ilam,,
Riyom,,
Hadar,,
Cayara,,
Salay,,
Balarampur,,
Parras Lempa,,
Rio Sucio,,
Arwani,,
Santa Isabel,,
Maracay,,
Chupamarca,,
Thondamanaru,,
Iganagampong,,
Sohag,,
Tapoyo,,
Gambat,,
Arabia,,
Aceh Besar Regency,,
La Sirena,,
Shah Joy district,,
Matola,,
Vegachi,,
Sakhakot,,
Gal Hareeri,,
Tigbao,,
La Penca,,
Lasana,,
Gitarama,,
Alkhan-Kala,,
Bijanbari,,
Manresa,,
Pirkoh,,
Zanqurah,,
Del Gallego,,
Petit Goave,,
Castrovirreyna,,
Trichal,,
Bokajan,,
Pradera,,
El Amatillo,,
Gorongosa,,
Jafarabad,,
Guarne,,
San Jose de Cusmapa,,
Luntai district,,
Beir Al-Abd,,
Waz-i-Jadran,,
Rourkela,,
Lumding,,
Tacoma,,
Baglar district,,
Tanda,,
Relizane,,
Damagum,,
Dagohoy,,
Bislig,,
Kolea,,
